h
# COMMANDS:
#   a               Annotate   Type a note into the log file
#   c       Start Controller   Start configured controller: NONE
#   g               Set Gain   Set nephelometer gain
#   h                   Help   Print help information
#   m                Measure   Take online measurements
#   p                   Pump   Manually switch on a pump
#   s                  Setup   Set parameters for a controller
#   z      Test Nephelometer   Switch to test nephelometer stub
# CONFIGURED CONTROLLER: NONE
# CONTROLLERS:
#   m                                             Manual
#   t                                        Turbidostat
#   r                                  Turbidostat Ratio
#   i                                 Turbidostat Induce
#   c                        Turbidostat Cycle Time Conc
#   g                     Turbidostat Gradient Time Conc
#   l                 Turbidostat Log-Gradient Time Conc
#   d                       Turbidostat Density Gradient
# band-dsp-teensy manual [acghmpsz] > m
M	time.s	neph	gain
#   c                        Turbidostat Cycle Time Conc
#   g                     Turbidostat Gradient Time Conc
#   l                 Turbidostat Log-Gradient Time Conc
#   d                       Turbidostat Density Gradient
# Pick a controller: t=Turbidostat
# Current settings:
# Target neph 40.951
# Pump A
# Hit return to leave a parameter unchanged
# Enter target neph measurement(40.951): 10
# Enter media pump (A): *
# (not updated)
# Current settings:
# Target neph 10.000
# Pump A
# band-dsp-teensy manual [acghmpsz] > c
T	time.s	neph	gain	target	pumpon	pumptime.s
T	0	0.337	2	10.000	0	15.000
T	0	0.336	2	10.000	0	15.000
T	1	0.333	2	10.000	0	15.000
T	2	0.340	2	10.000	0	15.000
T	3	0.335	2	10.000	0	15.000
T	4	0.345	2	10.000	0	15.000
T	5	0.337	2	10.000	0	15.000
T	6	0.337	2	10.000	0	15.000
T	7	0.332	2	10.000	0	15.000
T	8	0.341	2	10.000	0	15.000
T	9	0.337	2	10.000	0	15.000
T	10	0.333	2	10.000	0	15.000
T	11	0.350	2	10.000	0	15.000
T	12	0.334	2	10.000	0	15.000
T	13	0.343	2	10.000	0	15.000
T	14	0.338	2	10.000	0	15.000
T	15	0.340	2	10.000	0	15.000
T	16	0.333	2	10.000	0	15.000
T	17	0.334	2	10.000	0	15.000
T	18	0.340	2	10.000	0	15.000
T	19	0.338	2	10.000	0	15.000
T	20	30.692	2	10.000	0	15.000
T	21	20.306	2	10.000	0	15.000
T	22	18.206	2	10.000	0	15.000
T	23	15.713	2	10.000	0	15.000
T	24	13.901	2	10.000	0	15.000
T	25	12.326	2	10.000	0	15.000
T	26	11.430	2	10.000	1	15.000
T	27	10.529	2	10.000	1	16.000
T	28	9.977	2	10.000	1	17.000
T	29	9.130	2	10.000	1	18.000
T	30	8.828	2	10.000	1	19.000
T	31	8.237	2	10.000	1	20.000
T	32	8.387	2	10.000	1	21.000
T	33	7.323	2	10.000	1	22.000
T	34	7.937	2	10.000	0	23.000
T	35	7.226	2	10.000	0	23.000
T	36	6.127	2	10.000	0	23.000
T	37	6.848	2	10.000	0	23.000
T	38	6.741	2	10.000	0	23.000
T	39	5.295	2	10.000	0	23.000
T	40	13.903	2	10.000	0	23.000
T	41	0.362	2	10.000	0	23.000
# band-dsp-teensy manual [acghmpsz] > c
T	time.s	neph	gain	target	pumpon	pumptime.s
T	0	0.345	2	10.000	0	23.000
T	0	0.333	2	10.000	0	23.000
T	1	0.343	2	10.000	0	23.000
T	2	0.341	2	10.000	0	23.000
T	3	0.338	2	10.000	0	23.000
T	4	0.342	2	10.000	0	23.000
T	5	0.343	2	10.000	0	23.000
T	6	0.334	2	10.000	0	23.000
T	7	0.337	2	10.000	0	23.000
T	8	40.800	2	10.000	0	23.000
T	9	40.800	2	10.000	0	23.000
T	10	40.800	2	10.000	0	23.000
T	11	40.799	2	10.000	0	23.000
T	12	40.800	2	10.000	0	23.000
T	13	40.800	2	10.000	0	23.000
T	14	40.800	2	10.000	1	23.000
T	15	40.799	2	10.000	1	24.000
T	16	40.800	2	10.000	1	25.000
T	17	40.800	2	10.000	1	26.000
T	18	40.799	2	10.000	1	27.000
T	19	40.800	2	10.000	1	28.000
T	20	40.800	2	10.000	1	29.000
T	21	40.800	2	10.000	1	30.000
T	22	40.800	2	10.000	1	31.000
T	23	40.800	2	10.000	1	32.000
T	24	40.800	2	10.000	1	33.000
T	25	40.799	2	10.000	1	34.000
T	26	0.348	2	10.000	1	35.000
T	27	0.334	2	10.000	1	36.000
T	28	0.343	2	10.000	1	37.000
T	29	0.346	2	10.000	1	38.000
T	30	0.347	2	10.000	1	39.000
T	31	0.347	2	10.000	0	40.000
T	32	0.341	2	10.000	0	40.000
T	33	0.337	2	10.000	0	40.000
T	34	0.334	2	10.000	0	40.000
T	35	0.332	2	10.000	0	40.000
T	36	0.340	2	10.000	0	40.000
T	37	0.335	2	10.000	0	40.000
T	38	0.333	2	10.000	0	40.000
T	39	0.339	2	10.000	0	40.000
T	40	0.341	2	10.000	0	40.000
T	41	0.333	2	10.000	0	40.000
T	42	0.348	2	10.000	0	40.000
T	43	0.341	2	10.000	0	40.000
T	44	0.334	2	10.000	0	40.000
T	45	0.334	2	10.000	0	40.000
T	46	0.333	2	10.000	0	40.000
T	47	0.332	2	10.000	0	40.000
T	48	0.347	2	10.000	0	40.000
T	49	0.325	2	10.000	0	40.000
T	50	0.332	2	10.000	0	40.000
T	51	0.347	2	10.000	0	40.000
T	52	0.339	2	10.000	0	40.000
T	53	0.342	2	10.000	0	40.000
T	54	0.342	2	10.000	0	40.000
T	55	0.336	2	10.000	0	40.000
T	56	0.332	2	10.000	0	40.000
T	57	0.335	2	10.000	0	40.000
T	58	0.333	2	10.000	0	40.000
T	59	0.330	2	10.000	0	40.000
T	60	0.332	2	10.000	0	40.000
T	61	0.338	2	10.000	0	40.000
T	62	0.334	2	10.000	0	40.000
T	63	0.338	2	10.000	0	40.000
T	64	0.345	2	10.000	0	40.000
T	65	0.338	2	10.000	0	40.000
T	66	0.334	2	10.000	0	40.000
T	67	0.333	2	10.000	0	40.000
T	68	0.338	2	10.000	0	40.000
T	69	0.340	2	10.000	0	40.000
T	70	0.334	2	10.000	0	40.000
T	71	0.336	2	10.000	0	40.000
T	72	0.332	2	10.000	0	40.000
T	73	0.338	2	10.000	0	40.000
T	74	0.331	2	10.000	0	40.000
T	75	0.337	2	10.000	0	40.000
T	76	0.333	2	10.000	0	40.000
T	77	0.329	2	10.000	0	40.000
T	78	0.339	2	10.000	0	40.000
T	79	0.338	2	10.000	0	40.000
T	80	0.338	2	10.000	0	40.000
T	81	0.339	2	10.000	0	40.000
T	82	0.331	2	10.000	0	40.000
T	83	0.346	2	10.000	0	40.000
T	84	0.341	2	10.000	0	40.000
T	85	0.336	2	10.000	0	40.000
T	86	0.332	2	10.000	0	40.000
T	87	0.340	2	10.000	0	40.000
T	88	0.331	2	10.000	0	40.000
T	89	0.338	2	10.000	0	40.000
T	90	0.339	2	10.000	0	40.000
T	91	0.337	2	10.000	0	40.000
T	92	0.339	2	10.000	0	40.000
T	93	0.339	2	10.000	0	40.000
T	94	0.346	2	10.000	0	40.000
T	95	0.339	2	10.000	0	40.000
T	96	0.346	2	10.000	0	40.000
T	97	0.345	2	10.000	0	40.000
T	98	0.338	2	10.000	0	40.000
T	99	0.337	2	10.000	0	40.000
T	100	0.343	2	10.000	0	40.000
T	101	0.338	2	10.000	0	40.000
T	102	0.347	2	10.000	0	40.000
T	103	0.338	2	10.000	0	40.000
T	104	0.345	2	10.000	0	40.000
T	105	0.329	2	10.000	0	40.000
T	106	0.334	2	10.000	0	40.000
T	107	0.330	2	10.000	0	40.000
T	108	0.333	2	10.000	0	40.000
T	109	0.337	2	10.000	0	40.000
T	110	0.338	2	10.000	0	40.000
T	111	0.330	2	10.000	0	40.000
T	112	0.340	2	10.000	0	40.000
T	113	0.333	2	10.000	0	40.000
T	114	0.340	2	10.000	0	40.000
T	115	0.344	2	10.000	0	40.000
T	116	0.331	2	10.000	0	40.000
T	117	0.347	2	10.000	0	40.000
T	118	0.345	2	10.000	0	40.000
T	119	0.344	2	10.000	0	40.000
T	120	0.343	2	10.000	0	40.000
T	121	0.331	2	10.000	0	40.000
T	122	0.338	2	10.000	0	40.000
T	123	0.328	2	10.000	0	40.000
T	124	0.337	2	10.000	0	40.000
T	125	0.330	2	10.000	0	40.000
T	126	0.338	2	10.000	0	40.000
T	127	0.329	2	10.000	0	40.000
T	128	0.337	2	10.000	0	40.000
T	129	0.330	2	10.000	0	40.000
T	130	0.338	2	10.000	0	40.000
T	131	0.328	2	10.000	0	40.000
T	132	0.340	2	10.000	0	40.000
T	133	0.334	2	10.000	0	40.000
T	134	0.336	2	10.000	0	40.000
T	135	0.328	2	10.000	0	40.000
T	136	0.337	2	10.000	0	40.000
T	137	0.331	2	10.000	0	40.000
T	138	0.330	2	10.000	0	40.000
T	139	0.328	2	10.000	0	40.000
T	140	0.330	2	10.000	0	40.000
T	141	0.336	2	10.000	0	40.000
T	142	0.338	2	10.000	0	40.000
T	143	0.337	2	10.000	0	40.000
T	144	0.331	2	10.000	0	40.000
T	145	0.341	2	10.000	0	40.000
T	146	0.336	2	10.000	0	40.000
T	147	0.346	2	10.000	0	40.000
T	148	0.330	2	10.000	0	40.000
T	149	0.328	2	10.000	0	40.000
T	150	0.329	2	10.000	0	40.000
T	151	0.329	2	10.000	0	40.000
T	152	0.330	2	10.000	0	40.000
T	153	0.334	2	10.000	0	40.000
T	154	0.344	2	10.000	0	40.000
T	155	0.341	2	10.000	0	40.000
T	156	0.343	2	10.000	0	40.000
T	157	0.336	2	10.000	0	40.000
T	158	0.336	2	10.000	0	40.000
T	159	0.341	2	10.000	0	40.000
T	160	0.343	2	10.000	0	40.000
T	161	0.330	2	10.000	0	40.000
T	162	0.347	2	10.000	0	40.000
T	163	0.347	2	10.000	0	40.000
T	164	0.346	2	10.000	0	40.000
T	165	0.330	2	10.000	0	40.000
T	166	0.331	2	10.000	0	40.000
T	167	0.332	2	10.000	0	40.000
T	168	0.333	2	10.000	0	40.000
T	169	0.335	2	10.000	0	40.000
T	170	0.331	2	10.000	0	40.000
T	171	0.330	2	10.000	0	40.000
T	172	0.340	2	10.000	0	40.000
T	173	0.328	2	10.000	0	40.000
T	174	0.331	2	10.000	0	40.000
T	175	0.334	2	10.000	0	40.000
T	176	0.348	2	10.000	0	40.000
T	177	0.331	2	10.000	0	40.000
T	178	0.332	2	10.000	0	40.000
T	179	0.328	2	10.000	0	40.000
T	180	0.344	2	10.000	0	40.000
T	181	0.334	2	10.000	0	40.000
T	182	0.337	2	10.000	0	40.000
T	183	0.341	2	10.000	0	40.000
T	184	0.336	2	10.000	0	40.000
T	185	0.331	2	10.000	0	40.000
T	186	0.334	2	10.000	0	40.000
T	187	0.331	2	10.000	0	40.000
T	188	0.339	2	10.000	0	40.000
T	189	0.332	2	10.000	0	40.000
T	190	0.341	2	10.000	0	40.000
T	191	0.343	2	10.000	0	40.000
T	192	0.336	2	10.000	0	40.000
T	193	0.330	2	10.000	0	40.000
T	194	0.338	2	10.000	0	40.000
T	195	0.337	2	10.000	0	40.000
T	196	0.331	2	10.000	0	40.000
T	197	0.329	2	10.000	0	40.000
T	198	0.346	2	10.000	0	40.000
